tE_bin,piE_bin,tE_left_days,tE_right_days,tE_center_days,piE_left,piE_right,piE_center,n_positive,n_detected,n_confused,detection_fraction,shown_in_heatmap
10,3,47.455877278984254,63.69788406042391,54.980350752813905,0.035495366597555714,0.05414548164181543,0.043839636409047256,70,0,70,0.0,True
10,4,47.455877278984254,63.69788406042391,54.980350752813905,0.05414548164181543,0.08259481344323,0.0668740304976422,300,20,280,0.06666666666666667,True
10,5,47.455877278984254,63.69788406042391,54.980350752813905,0.08259481344323,0.12599210498948735,0.10201124647276179,869,117,752,0.13463751438434982,True
10,6,47.455877278984254,63.69788406042391,54.980350752813905,0.12599210498948735,0.19219137204774617,0.1556103965842683,2287,499,1788,0.21818976825535635,True
10,7,47.455877278984254,63.69788406042391,54.980350752813905,0.19219137204774617,0.29317331822241716,0.23737182283699315,4624,1624,3000,0.35121107266435986,True
10,8,47.455877278984254,63.69788406042391,54.980350752813905,0.29317331822241716,0.447213595499958,0.3620926590624291,7926,4065,3861,0.5128690386071159,True
10,9,47.455877278984254,63.69788406042391,54.980350752813905,0.447213595499958,0.6821903207721969,0.5523448073149632,9960,6772,3188,0.6799196787148595,True
10,10,47.455877278984254,63.69788406042391,54.980350752813905,0.6821903207721969,1.040629440692656,0.8425599871529117,8639,6905,1734,0.7992823243430953,True
10,11,47.455877278984254,63.69788406042391,54.980350752813905,1.040629440692656,1.5874010519682002,1.2852611675704677,4845,4213,632,0.8695562435500516,True
10,12,47.455877278984254,63.69788406042391,54.980350752813905,1.5874010519682002,2.4214595525113247,1.960568142390089,1687,1494,193,0.8855957320687611,True
10,13,47.455877278984254,63.69788406042391,54.980350752813905,2.4214595525113247,3.6937523489595185,2.990697562442443,396,328,68,0.8282828282828283,True
10,14,47.455877278984254,63.69788406042391,54.980350752813905,3.6937523489595185,5.6345382276956855,4.5620816316516235,72,63,9,0.875,True
10,15,47.455877278984254,63.69788406042391,54.980350752813905,5.6345382276956855,8.595059451754269,6.959108495362503,9,7,2,0.7777777777777778,False
10,16,47.455877278984254,63.69788406042391,54.980350752813905,8.595059451754269,13.111109374690052,10.615590636131074,1,1,0,1.0,False
10,17,47.455877278984254,63.69788406042391,54.980350752813905,13.111109374690052,20.0,16.193275996344934,0,0,0,,False
11,0,63.69788406042391,85.4987973338348,73.79764549005809,0.01,0.015254239308390182,0.012350805361752804,1,0,1,0.0,False
11,1,63.69788406042391,85.4987973338348,73.79764549005809,0.015254239308390182,0.02326918168776363,0.01884021406395259,6,0,6,0.0,False
11,2,63.69788406042391,85.4987973338348,73.79764549005809,0.02326918168776363,0.035495366597555714,0.028739313395283128,17,0,17,0.0,False
11,3,63.69788406042391,85.4987973338348,73.79764549005809,0.035495366597555714,0.05414548164181543,0.043839636409047256,103,5,98,0.04854368932038835,True
11,4,63.69788406042391,85.4987973338348,73.79764549005809,0.05414548164181543,0.08259481344323,0.0668740304976422,351,48,303,0.13675213675213677,True
