bin_index,delta_chi2_center,parameter_1,parameter_2,n_total,n_positive_definite,abs_corr_q16,abs_corr_median,abs_corr_q84
3,-2.81699576102346,u0,piEN,214,182,0.248241941477766,0.764160397866172,0.9735077479613614
3,-2.81699576102346,u0,piEE,214,182,0.22931268791749546,0.7876822791947449,0.9666682590776762
3,-2.81699576102346,tE,rho,214,182,0.17407156200962567,0.5869076200334185,0.9146329995136884
3,-2.81699576102346,tE,piEN,214,182,0.3154491213950913,0.8143742415483184,0.968300134825085
3,-2.81699576102346,tE,piEE,214,182,0.26463602525724744,0.759964757063893,0.9790879385644311
3,-2.81699576102346,rho,piEN,214,182,0.18200031819965456,0.5363366030818257,0.8906399171105935
3,-2.81699576102346,rho,piEE,214,182,0.16683876519837823,0.545934031821559,0.8766268559504137
3,-2.81699576102346,piEN,piEE,214,182,0.2779942923616018,0.891348854509542,0.9945616432511976
4,-1.5750474461744086,t0,u0,359,309,0.167541491823723,0.64102518347719,0.9270888047721477
4,-1.5750474461744086,t0,tE,359,309,0.1613153115835205,0.6080349874608584,0.911491704907592
4,-1.5750474461744086,t0,rho,359,309,0.1007572933946243,0.4677458564251853,0.88739980897393
4,-1.5750474461744086,t0,piEN,359,309,0.2248816192148911,0.7126788017626678,0.9709771346508678
4,-1.5750474461744086,t0,piEE,359,309,0.2053650047319824,0.7774538790106503,0.9788078416090521
4,-1.5750474461744086,u0,tE,359,309,0.32570637133027214,0.8316710046351228,0.9900185313929025
4,-1.5750474461744086,u0,rho,359,309,0.2900262042997428,0.815749836780864,0.9958086066730324
4,-1.5750474461744086,u0,piEN,359,309,0.3310256190952946,0.7675084248968659,0.9828878818102088
4,-1.5750474461744086,u0,piEE,359,309,0.3216964145653304,0.7554260688731976,0.9805497799873837
4,-1.5750474461744086,tE,rho,359,309,0.18057331327722054,0.6227451246833886,0.946500764569996
4,-1.5750474461744086,tE,piEN,359,309,0.2676385077987981,0.7479324296045053,0.9773081166860388
4,-1.5750474461744086,tE,piEE,359,309,0.35205766693642854,0.8025615511952857,0.9782029600252561
4,-1.5750474461744086,rho,piEN,359,309,0.212453616395958,0.6017284022249381,0.9398598427034824
4,-1.5750474461744086,rho,piEE,359,309,0.18706954829282235,0.5627388150125371,0.9291770577346532
4,-1.5750474461744086,piEN,piEE,359,309,0.37703981630134414,0.8632061132369274,0.9924035845997595
5,-0.7371958904851899,t0,u0,649,568,0.2017191693632241,0.6335746202797663,0.9350488543173774
5,-0.7371958904851899,t0,tE,649,568,0.22636018632349214,0.6261002981964514,0.9324204534765078
5,-0.7371958904851899,t0,rho,649,568,0.12048783406328235,0.47214244148754897,0.8590749063145792
